	step 16000000: saved model

time 06h 23m 49s, episodes 18555, frames 16018763, run epr 595.05, run loss 448.76
time 06h 24m 49s, episodes 18600, frames 16060172, run epr 643.65, run loss 440.82
time 06h 26m 10s, episodes 18664, frames 16115591, run epr 546.90, run loss 390.22
time 06h 27m 25s, episodes 18725, frames 16167215, run epr 566.92, run loss 432.01
time 06h 28m 29s, episodes 18776, frames 16210383, run epr 547.08, run loss 399.81
time 06h 29m 48s, episodes 18841, frames 16264918, run epr 531.36, run loss 388.34
time 06h 31m 02s, episodes 18898, frames 16315582, run epr 588.97, run loss 419.44
time 06h 32m 28s, episodes 18963, frames 16369618, run epr 613.49, run loss 385.35
time 06h 33m 35s, episodes 19012, frames 16415653, run epr 597.50, run loss 429.74
time 06h 34m 49s, episodes 19067, frames 16465443, run epr 589.81, run loss 416.31
time 06h 36m 12s, episodes 19133, frames 16522203, run epr 646.89, run loss 423.52
time 06h 37m 44s, episodes 19210, frames 16585346, run epr 598.00, run loss 405.59
time 06h 39m 00s, episodes 19266, frames 16637204, run epr 600.91, run loss 408.61
time 06h 40m 06s, episodes 19317, frames 16682405, run epr 630.71, run loss 402.65
time 06h 41m 09s, episodes 19367, frames 16726101, run epr 599.19, run loss 384.38
time 06h 42m 18s, episodes 19420, frames 16773365, run epr 560.53, run loss 396.95
time 06h 43m 20s, episodes 19470, frames 16815706, run epr 613.07, run loss 413.52
time 06h 44m 21s, episodes 19517, frames 16856808, run epr 599.81, run loss 404.14
time 06h 45m 31s, episodes 19574, frames 16905005, run epr 564.04, run loss 396.38
time 06h 46m 42s, episodes 19629, frames 16953753, run epr 563.93, run loss 395.04
time 06h 47m 44s, episodes 19669, frames 16992085, run epr 610.78, run loss 444.77
time 06h 48m 52s, episodes 19721, frames 17037959, run epr 621.18, run loss 435.10
time 06h 49m 57s, episodes 19770, frames 17082567, run epr 620.48, run loss 438.45
time 06h 51m 06s, episodes 19822, frames 17130384, run epr 654.32, run loss 469.26
time 06h 52m 25s, episodes 19885, frames 17184710, run epr 653.68, run loss 456.54
time 06h 53m 44s, episodes 19947, frames 17238493, run epr 605.57, run loss 454.57
