
time 04h 46m 01s, episodes 21235, frames 17.4M, run epr 427.38, run loss 54.58
time 04h 47m 14s, episodes 21319, frames 17.5M, run epr 423.97, run loss 56.02
time 04h 48m 23s, episodes 21389, frames 17.5M, run epr 425.58, run loss 54.70
time 04h 49m 23s, episodes 21450, frames 17.6M, run epr 436.41, run loss 53.85
time 04h 50m 24s, episodes 21519, frames 17.6M, run epr 439.03, run loss 50.63
time 04h 51m 33s, episodes 21593, frames 17.7M, run epr 427.60, run loss 43.41
time 04h 52m 41s, episodes 21667, frames 17.8M, run epr 430.46, run loss 46.07
time 04h 53m 49s, episodes 21739, frames 17.8M, run epr 433.99, run loss 46.45
time 04h 54m 55s, episodes 21814, frames 17.9M, run epr 431.59, run loss 43.53
time 04h 56m 04s, episodes 21886, frames 18.0M, run epr 435.23, run loss 46.57

	18M frames: saved model

time 04h 57m 08s, episodes 21958, frames 18.0M, run epr 434.29, run loss 46.23
time 04h 58m 13s, episodes 22021, frames 18.1M, run epr 447.72, run loss 45.59
time 04h 59m 29s, episodes 22104, frames 18.2M, run epr 436.26, run loss 41.83
time 05h 00m 39s, episodes 22177, frames 18.2M, run epr 449.01, run loss 47.31
time 05h 01m 46s, episodes 22248, frames 18.3M, run epr 443.83, run loss 49.89
time 05h 02m 53s, episodes 22320, frames 18.4M, run epr 438.62, run loss 48.38
time 05h 04m 03s, episodes 22401, frames 18.4M, run epr 425.11, run loss 46.81
time 05h 05m 13s, episodes 22476, frames 18.5M, run epr 437.55, run loss 50.39
time 05h 06m 22s, episodes 22551, frames 18.6M, run epr 421.09, run loss 48.54
time 05h 07m 26s, episodes 22624, frames 18.6M, run epr 412.24, run loss 40.65
time 05h 08m 40s, episodes 22702, frames 18.7M, run epr 415.36, run loss 45.23
time 05h 09m 46s, episodes 22764, frames 18.8M, run epr 426.59, run loss 44.92
time 05h 11m 00s, episodes 22838, frames 18.8M, run epr 425.62, run loss 46.82
time 05h 12m 01s, episodes 22899, frames 18.9M, run epr 429.81, run loss 53.25
time 05h 13m 12s, episodes 22975, frames 19.0M, run epr 424.87, run loss 47.03
time 05h 14m 19s, episodes 23047, frames 19.0M, run epr 427.33, run loss 54.08
time 05h 15m 19s, episodes 23113, frames 19.1M, run epr 446.50, run loss 51.85
time 05h 16m 31s, episodes 23194, frames 19.2M, run epr 421.40, run loss 44.79
time 05h 17m 33s, episodes 23257, frames 19.2M, run epr 433.92, run loss 44.17
time 05h 18m 44s, episodes 23331, frames 19.3M, run epr 432.27, run loss 42.99
time 05h 19m 48s, episodes 23406, frames 19.3M, run epr 420.80, run loss 39.75
time 05h 20m 58s, episodes 23476, frames 19.4M, run epr 444.04, run loss 44.88
time 05h 22m 08s, episodes 23547, frames 19.5M, run epr 450.82, run loss 50.44
time 05h 23m 23s, episodes 23628, frames 19.5M, run epr 440.68, run loss 51.20
time 05h 24m 26s, episodes 23690, frames 19.6M, run epr 446.88, run loss 50.13
time 05h 25m 34s, episodes 23764, frames 19.7M, run epr 442.90, run loss 50.13
time 05h 26m 53s, episodes 23848, frames 19.8M, run epr 451.29, run loss 51.64
time 05h 27m 55s, episodes 23912, frames 19.8M, run epr 445.57, run loss 45.69
time 05h 28m 59s, episodes 23979, frames 19.9M, run epr 457.63, run loss 50.04
time 05h 30m 03s, episodes 24040, frames 19.9M, run epr 460.73, run loss 57.17

	20M frames: saved model

time 05h 31m 15s, episodes 24121, frames 20.0M, run epr 457.11, run loss 58.71
time 05h 32m 29s, episodes 24202, frames 20.1M, run epr 442.26, run loss 50.42
time 05h 33m 45s, episodes 24283, frames 20.2M, run epr 451.22, run loss 54.27
time 05h 34m 48s, episodes 24346, frames 20.2M, run epr 464.25, run loss 54.49
time 05h 36m 05s, episodes 24430, frames 20.3M, run epr 452.76, run loss 54.95
time 05h 37m 17s, episodes 24506, frames 20.4M, run epr 434.57, run loss 52.59
time 05h 38m 26s, episodes 24576, frames 20.4M, run epr 439.49, run loss 50.81
time 05h 39m 27s, episodes 24643, frames 20.5M, run epr 445.32, run loss 49.77
time 05h 40m 29s, episodes 24710, frames 20.5M, run epr 434.29, run loss 46.60
time 05h 41m 31s, episodes 24779, frames 20.6M, run epr 427.34, run loss 51.90
time 05h 42m 47s, episodes 24860, frames 20.7M, run epr 437.43, run loss 48.00
time 05h 44m 01s, episodes 24944, frames 20.7M, run epr 425.81, run loss 40.69
time 05h 45m 16s, episodes 25028, frames 20.8M, run epr 429.11, run loss 45.51
time 05h 46m 31s, episodes 25107, frames 20.9M, run epr 443.38, run loss 44.57
time 05h 47m 40s, episodes 25179, frames 21.0M, run epr 467.38, run loss 57.96
time 05h 48m 57s, episodes 25256, frames 21.0M, run epr 442.03, run loss 49.20
time 05h 50m 23s, episodes 25336, frames 21.1M, run epr 457.90, run loss 47.42
time 05h 51m 26s, episodes 25401, frames 21.2M, run epr 402.64, run loss 44.67
time 05h 52m 47s, episodes 25491, frames 21.3M, run epr 398.91, run loss 48.81
time 05h 53m 55s, episodes 25574, frames 21.3M, run epr 406.84, run loss 43.42
time 05h 55m 18s, episodes 25663, frames 21.4M, run epr 425.28, run loss 46.55
time 05h 56m 40s, episodes 25748, frames 21.5M, run epr 438.74, run loss 43.32
time 05h 57m 54s, episodes 25832, frames 21.6M, run epr 435.95, run loss 45.35
time 05h 58m 57s, episodes 25902, frames 21.6M, run epr 433.08, run loss 47.18
time 05h 59m 57s, episodes 25964, frames 21.7M, run epr 431.53, run loss 51.55
time 06h 01m 02s, episodes 26037, frames 21.7M, run epr 438.71, run loss 60.39
time 06h 02m 17s, episodes 26116, frames 21.8M, run epr 442.89, run loss 56.47
time 06h 03m 19s, episodes 26188, frames 21.9M, run epr 415.79, run loss 45.47
time 06h 04m 28s, episodes 26256, frames 21.9M, run epr 432.06, run loss 43.47
time 06h 05m 30s, episodes 26325, frames 22.0M, run epr 437.33, run loss 44.22

	22M frames: saved model

