
time 03h 57m 19s, episodes 18672, frames 15.6M, mean epr 409.72, run loss 84.55
time 03h 58m 19s, episodes 18720, frames 15.7M, mean epr 416.13, run loss 83.13
time 03h 59m 19s, episodes 18770, frames 15.7M, mean epr 409.40, run loss 76.19
time 04h 00m 19s, episodes 18827, frames 15.8M, mean epr 405.77, run loss 68.53
time 04h 01m 20s, episodes 18881, frames 15.8M, mean epr 406.87, run loss 73.58
time 04h 02m 20s, episodes 18926, frames 15.9M, mean epr 409.55, run loss 71.81
time 04h 03m 20s, episodes 18972, frames 15.9M, mean epr 413.73, run loss 75.59
time 04h 04m 20s, episodes 19024, frames 15.9M, mean epr 408.85, run loss 72.41
time 04h 05m 20s, episodes 19077, frames 16.0M, mean epr 396.60, run loss 66.40

	16M frames: saved model

time 04h 06m 20s, episodes 19134, frames 16.0M, mean epr 395.69, run loss 62.82
time 04h 07m 20s, episodes 19191, frames 16.1M, mean epr 382.27, run loss 61.67
time 04h 08m 21s, episodes 19245, frames 16.1M, mean epr 366.62, run loss 56.98
time 04h 09m 21s, episodes 19302, frames 16.2M, mean epr 378.78, run loss 63.09
time 04h 10m 21s, episodes 19350, frames 16.2M, mean epr 405.11, run loss 68.13
time 04h 11m 21s, episodes 19404, frames 16.3M, mean epr 414.99, run loss 77.20
time 04h 12m 21s, episodes 19454, frames 16.3M, mean epr 413.66, run loss 75.06
time 04h 13m 22s, episodes 19509, frames 16.4M, mean epr 417.27, run loss 76.90
time 04h 14m 22s, episodes 19558, frames 16.4M, mean epr 425.87, run loss 75.30
time 04h 15m 22s, episodes 19612, frames 16.4M, mean epr 432.30, run loss 76.24
time 04h 16m 22s, episodes 19660, frames 16.5M, mean epr 425.08, run loss 76.54
time 04h 17m 22s, episodes 19711, frames 16.5M, mean epr 413.82, run loss 72.13
time 04h 18m 22s, episodes 19767, frames 16.6M, mean epr 384.70, run loss 63.37
time 04h 19m 22s, episodes 19819, frames 16.6M, mean epr 391.82, run loss 61.97
time 04h 20m 23s, episodes 19867, frames 16.7M, mean epr 405.42, run loss 69.50
time 04h 21m 23s, episodes 19921, frames 16.7M, mean epr 403.33, run loss 69.21
time 04h 22m 23s, episodes 19976, frames 16.8M, mean epr 425.59, run loss 72.53
time 04h 23m 23s, episodes 20045, frames 16.8M, mean epr 415.11, run loss 69.82
time 04h 24m 23s, episodes 20123, frames 16.9M, mean epr 405.87, run loss 68.71
time 04h 25m 23s, episodes 20208, frames 17.0M, mean epr 393.95, run loss 67.82
time 04h 26m 23s, episodes 20291, frames 17.0M, mean epr 384.73, run loss 77.25
time 04h 27m 23s, episodes 20358, frames 17.1M, mean epr 411.92, run loss 78.87
time 04h 28m 24s, episodes 20417, frames 17.2M, mean epr 417.87, run loss 76.90
time 04h 29m 24s, episodes 20468, frames 17.2M, mean epr 419.71, run loss 75.91
time 04h 30m 24s, episodes 20518, frames 17.3M, mean epr 415.15, run loss 71.28
time 04h 31m 24s, episodes 20586, frames 17.3M, mean epr 431.85, run loss 79.75
